,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
0,"Rs 2,184 Crore Spent In Security Expenditure On J&K Police In 3 Years","The Ministry of Home Affairs (MHA) has spent Rs 2,814 crore in the last three years on security-related expenditures on the police of Jammu & Kashmir.",ndtv,L,ministry home affair mha spent crore year security related expenditure police jammu kashmir,0.34,0.167,0.833,0.0
1,Fire Services Recruitment Under Scanner In Jammu And Kashmir,Recruitment of 800 firemen in Jammu and Kashmir has come under scanner following allegations of massive corruption in the selection process.,ndtv,L,recruitment fireman jammu kashmir come scanner following allegation massive corruption selection process,0.0,0.0,1.0,0.0
2,"""BJP Lacks Courage"": Omar Abdullah On Holding Polls In Jammu And Kashmir",National Conference vice-president Omar Abdullah today said his party will not beg the Centre for assembly elections in Jammu and Kashmir.,ndtv,L,national conference vice president omar abdullah today said party beg centre assembly election jammu kashmir,0.4019,0.162,0.838,0.0
3,"""Why Didn't He Act?"": Jammu and Kashmir Congress Chief Slams GN Azad",Jammu and Kashmir Congress President Vikar Rasool hit out at former Congress leader Ghulam Nabi Azad for fabricating allegations against the Congress party.,ndtv,L,jammu kashmir congress president vikar rasool hit congress leader ghulam nabi azad fabricating allegation congress party,0.4019,0.153,0.847,0.0
4,"Ahead Of Jammu And Kashmir Polls, Omar Abdullah's Big ""Repeal"" Promise","""They (Centre) have only kept those (old) laws here which can be used to harass the people,"" says former chief minister",ndtv,L,centre kept old law used harass people say chief minister,-0.4939,0.0,0.738,0.262
5,"Islamic Nations' Group Has ""Already Lost Credibility"": India On PoK Visit",India on Tuesday strongly condemned the visit of the secretary general of the Organisation of Islamic Cooperation (OIC) to Pakistan occupied Kashmir (PoK) and for his comments on Jammu and Kashmir.,ndtv,L,india tuesday strongly condemned visit secretary general organisation islamic cooperation oic pakistan occupied kashmir pok comment jammu kashmir,-0.2023,0.1,0.762,0.138
6,"""Another Surveillance Tool"": Mehbooba Mufti On Unique Family ID","PDP president Mehbooba Mufti on Monday said the Jammu and Kashmir administration's plan to create a 'unique family ID' for residents of the Union Territory was emblematic of the widening ""trust deficit"" after the 2019 abrogation of Article 370.",ndtv,L,pdp president mehbooba mufti monday said jammu kashmir administration plan create unique family id resident union territory emblematic widening trust deficit abrogation article,0.4019,0.192,0.712,0.096
7,"Ahead Of Bharat Jodo Yatra's Jammu And Kashmir Leg, Security In This District Reviewed","As the Rahul Gandhi-led Bharat Jodo Yatra is scheduled to reach Jammu and Kashmir next month, a senior police officer on Sunday reviewed the overall security situation in Kathua the gateway district to the Union Territory bordering Punjab.",ndtv,L,rahul gandhi led bharat jodo yatra scheduled reach jammu kashmir month senior police officer sunday reviewed overall security situation kathua gateway district union territory bordering punjab,0.3612,0.127,0.873,0.0
8,Jammu And Kashmir's Unique Family ID Move Raises Concerns Over Data Privacy,The Jammu and Kashmir administration is planning to create an authentic database of all families in the Union territory with each of them having a unique alpha-numeric code.,ndtv,L,jammu kashmir administration planning create authentic database family union territory having unique alpha numeric code,0.2732,0.13,0.87,0.0
9,"Jammu Region Free Of Terror, Says Police Chief","""We are more proactive than what is required. Police and security forces are jointly working to defeat every conspiracy by Pakistani agencies,"" says police chief",ndtv,L,proactive required police security force jointly working defeat conspiracy pakistani agency say police chief,-0.296,0.241,0.463,0.296
